date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:09	117/117	---MC-	200	added ('OK')	text/plain	date:Mon,%2023%20Nov%202020%2011:39:08%20GMT	https://myungjeejung.com/robots.txt		(from )
20:39:09	106940/106940	---M-Z	200	added ('OK')	text/html	etag:%22b666b8d53915b594b77632b7697f3b57%22	https://myungjeejung.com/	D:/MyWebsite/MyauHomepage/myungjeejung.com/index.html	(from )
20:39:10	1963/1963	---MC-	200	added ('OK')	application/rss+xml	etag:%220e8d891e1f014b6fc031b5af3b1a7a89%22	https://myungjeejung.com/comments/feed/	D:/MyWebsite/MyauHomepage/myungjeejung.com/comments/feed/index.html	(from https://myungjeejung.com/)
20:39:10	2222/2222	---MC-	200	added ('OK')	application/rss+xml	etag:%226cc4a119667c1f3d249e90535d9cbead%22	https://myungjeejung.com/feed/	D:/MyWebsite/MyauHomepage/myungjeejung.com/feed/index.html	(from https://myungjeejung.com/)
20:39:10	53907/53907	---M--	200	added ('OK')	text/css	etag:%22d293-5b4c4715c0f6b%22	https://myungjeejung.com/wp-includes/css/dist/block-library/style.min.css?ver=5.5.3	D:/MyWebsite/MyauHomepage/myungjeejung.com/wp-includes/css/dist/block-library/style.min5697.css	(from https://myungjeejung.com/)
20:39:10	2218/2218	---M--	200	added ('OK')	text/css	etag:%228aa-5b4c4715ca7c4%22	https://myungjeejung.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.5.3	D:/MyWebsite/MyauHomepage/myungjeejung.com/wp-includes/css/dist/block-library/theme.min5697.css	(from https://myungjeejung.com/)
20:39:11	5790/5790	---M--	200	added ('OK')	text/css	etag:%22169e-5986e9e37f5dd%22	https://myungjeejung.com/wp-content/plugins/wen-skill-charts/public/css/wen-skill-charts-public.css?ver=WEN%20Skill%20Charts	D:/MyWebsite/MyauHomepage/myungjeejung.com/wp-content/plugins/wen-skill-charts/public/css/wen-skill-charts-public563b.css	(from https://myungjeejung.com/)
20:39:12	88347/88347	---M--	200	added ('OK')	text/css	etag:%221591b-5b4c451933857%22	https://myungjeejung.com/wp-content/themes/twentyseventeen/style.css?ver=20190507	D:/MyWebsite/MyauHomepage/myungjeejung.com/wp-content/themes/twentyseventeen/style8d89.css	(from https://myungjeejung.com/)
20:39:13	10658/10658	---M--	200	added ('OK')	text/css	etag:%2229a2-5b4c4519320e7%22	https://myungjeejung.com/wp-content/themes/twentyseventeen/assets/css/blocks.css?ver=20190105	D:/MyWebsite/MyauHomepage/myungjeejung.com/wp-content/themes/twentyseventeen/assets/css/blocksfbfa.css	(from https://myungjeejung.com/)
20:39:13	946/946	---M--	200	added ('OK')	text/css	etag:%223b2-5986ea377384c%22	https://myungjeejung.com/wp-content/plugins/skt-skill-bar/skill_bar/bar/sbar.css?ver=5.5.3	D:/MyWebsite/MyauHomepage/myungjeejung.com/wp-content/plugins/skt-skill-bar/skill_bar/bar/sbar5697.css	(from https://myungjeejung.com/)
20:39:14	1745/1745	---M--	200	added ('OK')	text/css	etag:%226d1-5986ea377384c%22	https://myungjeejung.com/wp-content/plugins/skt-skill-bar/skill_bar/circle/jquery.easy-pie-chart.css?ver=5.5.3	D:/MyWebsite/MyauHomepage/myungjeejung.com/wp-content/plugins/skt-skill-bar/skill_bar/circle/jquery.easy-pie-chart5697.css	(from https://myungjeejung.com/)
20:39:16	96873/96873	---M--	200	added ('OK')	application/x-javascript	etag:%2217a69-58915bdbaae80%22	https://myungjeejung.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	D:/MyWebsite/MyauHomepage/myungjeejung.com/wp-includes/js/jquery/jquery4a5f.js	(from https://myungjeejung.com/)
20:39:16	2452/2452	---M--	200	added ('OK')	application/x-javascript	etag:%22994-5986e9e37f9c5%22	https://myungjeejung.com/wp-content/plugins/wen-skill-charts/public/js/jquery.appear.js?ver=WEN%20Skill%20Charts	D:/MyWebsite/MyauHomepage/myungjeejung.com/wp-content/plugins/wen-skill-charts/public/js/jquery.appear563b.js	(from https://myungjeejung.com/)
